Organization,Mission,Location,Phone,Email,Serves,Website,Affiliation,Need
Operation Shoes from Santa,"Donate a new pair of shoes for underprivileged school age children. Please drop off in bins at Olympic Area watch commanders office. Olympic officers and Santa will distribute shoes to children at LAPD's Olympic Station on Dec. 20 at 6pm.

","1130 S. Vermont Ave., Los Angeles, CA 90006",(213) 382-9141,,underprivileged children,,Los Angeles Police Dept.,Shoes
Project Angel Food,"Nourishes the body and spirit of men, women and children affected by HIV/AIDS, cancer, and other life-threatening illnesses.","922 Vine St., Los Angeles, CA 90038",(323) 845-1816,volunteers@angelfood.org.,"men, women and children affected by HIV/AIDS, cancer, and other life-threatening illnesses",http://www.angelfood.org/,,Volunteer Time
For Women Only Inc,Promotes and supports the pursuit of higher education for female former foster youth ages 18 to 22 in South Los Angeles.,"532 West 55th St
Los Angeles CA 90037-4006",(323) 250 3537,jimmylucas@forwomenonlyincla.org,former foster and probation youth ages 18-22 to pursue their academic goals,http://www.forwomenonlyincla.org/,,Volunteer Time Specifically for Event
Illumination Foundation,Bridges the gap in existing services for the most underserved to break or prevent the cycle of homelessness.,"Main Headquarters
2691 Richter Ave, Suite 107
Irvine, CA 92606",(949) 273-0555,sover@ifhomeless.org,individuals and families that are homeless or in a state if poverty,http://www.ifhomeless.org/,,Volunteer Time
Holiday Teen Gift Drive (presented by Angel's Flight of Catholic Charities LA),"Committed to manifesting Christ’s spirit by collaborating with diverse communities, providing services to the poor and vulnerable, promoting human dignity and advocating for social justice.","357 S. Westlake Ave. 
Los Angeles, CA 90057",(213) 251-3400,info@CatholicCharitiesLA.org,runaway teens,http://www.catholiccharitiesla.org,catholic,"Sporting Equipment, Art Supplies, School Supplies, Clothing and Toiletries."
Wisdom Academy for Young Scientists,"Provides a stimulating and engaging learning environment that recognizes student capabilities, foster their connectedness to their immediate and broader communities, and offer them ways to contribute to school life.","7651 South Central Ave.
Los Angeles, CA 90044",(323) 537-8194,,students,http://wisdomacademy.org/,,"Financial Contributions, Guest Speakers and Volunteer Time."
Angel City Pit Bulls,"Dedicated to creating a better future for pit bulls by promoting their positive image as loving family companions through education, public advocacy, adoptions and responsible pet ownership.","Los Angeles, CA  90019",,VOLUNTEER@angelcitypits.org.,"pitbulls, animals, dogs",http://www.angelcitypits.org/,,"Volunteer Time, Donations."
Lange Foundation,"Dedicated to saving homeless and abandoned pets, and preparing them for a journey to a new, safe, loving world.","2106 S. Sepulveda Blvd.,
Los Angeles, CA 90025",(310) 473-5585,langevolunteer@gmail.com,homeless and abandoned pets,http://www.langefoundation.com/,,"Money, Buying a Gift of Life Car, Sponsor, Foster, or Volunteer."
Soldiers' Angels,"Provides aid and comfort to the men and women of the United States Army, Marines, Navy, Air Force, Coast Guard, and their families and to enable our volunteers to improve the lives of a growing veteran population.","1792 E Washington Blvd., 
Pasadena, CA 91104",(626) 529-5114,"
   adoptionsteam@soldiersangels.org","Army, Marines, Navy, Air Force, Coast Guard personnel, military families ",http://soldiersangels.org/,,"Donations, Adoptions/sponsoring Soldier And/or His or Her Family, Volunteer Time"
Martha's Village & Kitchen,"Martha’s Village & Kitchen is one of the largest providers of homeless services in Riverside County, and is a full-service center designed to offer a helping hand to the most vulnerable among us.","83-791 Date Avenue, Indio, CA 92201",(760) 347-4741,marthas@neighbor.org,"homeless, children, veterans, indigent, working poor, domestic abuse victims",http://marthasvillage.org/new/index.html,Roman Catholic,"Volunteer time, Canned goods , Clothing donations, Money, Car donations, Toys (Gifts)"
Coachella Valley Rescue Mission,"Serves those in need of recovery due to loss of job, home, health, emotional, mental or spiritual support, or physical or substance abuse.","47470 Van Buren Street, Indio, CA 92202",(760) 347-3512,info@cvrm.org,"homeless, children, veterans, anyone in neeed",http://www.cvrm.org,Christian,"Volunteer time, Canned goods, Gifts"
Pasadena Educational Foundation,"Supports, enhances and supplements the programs, initiatives and priorities of the Pasadena Unified School District.","351 South Hudson Avenue #153, Pasadena, CA  91101",(626) 396-3625,pef@pasedfoundation.org,"students, teachers",http://www.pasedfoundation.org,,"Volunteer time, Money, Gifts"
Jenesse Center Inc.,"Provides victims of domestic violence with a comprehensive, centralized base of support to assist them in addressing their immediate crisis and changing the patterns of their lives.","3761 Stocker Street, Los Angeles, CA 90008",(323) 299-9496  ,mhudson@jenesse.org,women and children ,https://jenesse.org/,,"Volunteer time, donations, resources such as school supplies & household items"
Mika Community Development Corporation,"Identifies and equips leaders in low-income neighborhoods to build communities that create parks and do neighborhood clean up days and start community centers, etc.","1718 Monrovia Ave. Costa Mesa, CA 92627",(949) 645-0075,,residents of low income neighborhoods in Costa Mesa,http://www.mikacdc.org,"Christian, Hispanic","Volunteer time, Money"
UCLA Volunteer Center,"Inspires the more than 400,000 members of the extended UCLA family, as well as the community at large, to create social change through lifelong participation in volunteer programs and civic engagement.","10920 Wilshire Blvd. Ste. 1500, Los Angeles, CA 90024",,,Students,http://volunteer.ucla.edu,,"Volunteer time, Money"
Dress for Success Worldwide - West,"Promotes economic independence for disadvantaged women by providing professional attire, a network of support and career development tools to help women thrive in work and in life.","1680 N. Vine Street Suite 900 Los Angeles, CA  90028",(323) 461-1021,,disadvantaged women all over Los Angeles,http://www.dressforsuccess.org/worldwidewest,,Money
Beagle Freedom Project,Rescue beagles used in animal experimentation in research laboratories and give them a chance at life in a loving forever home.,"4804 Laurel Canyon Blvd. #534, Valley Village, CA 91607",(323) 371-5971,,"dogs, pets",http://beaglefreedomproject.org/,,"Volunteer time, Money"
The Children's Lifesaving Foundation,Works year-round to provide services to at-risk youth and their families — from after school tutoring to surf camp to holiday parties.,"1112 Montana Avenue #534, Santa Monica, CA 90403",(310) 450-3701,,homeless and at-risk youth and their families in L.A.,http://www.childrenslifesaving.org,,"Volunteer time, Money"
Help for Brain Injured Children,Students receive daily therapy and stimulation to in order to give them the best chance for improvement. During the holidays the teachers and volunteers work very hard to put on an annual benefit to drum up support for the school.,"981 N. Euclid Street, La Habra, CA 90631",(562) 694-5655,,children and young adults with brain injuries and disabilities,http://www.hbic.org,,"Volunteer time, Money"
Nest Feathers,Provides professional interior design services and resources to facilities that serve people/families in transition.  Their current project is making over a 3 bedroom apartment for the Jenesse Center.,"4480 W 132nd Street, Hawthorne, CA 90250",(310) 489-0243,,homeless and their families and/or people in transition,http://www.nestfeathers.org,,"Volunteer time, Money"
Just Detention International,Seeks to end rape and sexual abuse in all forms of detention.,"3325 Wilshire Blvd, Suite 340, Los Angeles, CA 90010",(424) 230 4540,,survivors of sexual assault in prison and detention.,http://www.justdetention.org,,"Volunteer time, Money"
Greater West Hollywood Food Coalition,"The Greater West Hollywood Food Coalition, a broad-based grass-roots organization, has for the past 25 years has served a hot, fresh, and nutritious meals to the homeless and hungry."," Romaine St & N Sycamore Ave Los Angeles, CA 90038",,,Homeless,http://gwhfc.org/,,"Volunteer time,      8 3/4″ hard cardboard plates     10 ounce styrofoam cups     heavy plastic forks a sustainable supply of healthy (unsweetened) juice."
CoachArt,CoachArt improves the quality of life for children with chronic and life-threatening illnesses and their siblings by providing free lessons in the arts and athletics. CoachArt matches patients for weekly lessons with qualified volunteer mentors. ,"3303 Wilshire Blvd., Suite 320, Los Angeles, CA 90010",(213) 736-2850,stephanie@coachart.org,Chronically-ill children,http://www.coachart.org,,"Volunteer time, Financial contributions"
LA County Marriage Ceremony Volunteer Program,"Beginning in 1997, volunteers began performing civil wedding ceremonies at the department's headquarters in Norwalk where a wedding chapel is located. Volunteers now perform ceremonies in the County's branch offices, as well as the department's headquarters in Norwalk. This very successful, award-winning volunteer program provides citizens from all walks of life the opportunity to volunteer in public service while saving taxpayers money.","12400 Imperial Highway,
Norwalk, CA 90650",(562) 462-2081,,engaged and newlyweds,http://rrcc.lacounty.gov/clerk/marriages.cfm,,Volunteers to perform marriage ceremonies
Grandma’s House of Hope,Provides transitional care for women in crisis and hungry children in Orange County. ,"1505 East 17th St. Suite #116,
Santa Ana, CA 92705",(714) 558-8600,info@grandmashouseofhope.org,children who live in the area's motels,http://grandmashouseofhope.org/,,"Volunteer time, Financial donations"
NATHA Rebuilds,"NATHA serves the low-income, largely minority Lincoln Corridor of Northwest Pasadena with youth development programs.",,(626) 794-5889,cmwalker@natha.org,minority youth in the Lincoln Corridor of Northwest Pasadena,http://natharebuilds.org/,,"NATHA is in need of supplies for our after-school enrichment and tutoring programs including new books, board games, puzzles, drawing paper, paint and brushes, 
washable markers, and gift cards to local art and school supply stores."
Richstone Family Center,"The Richstone Family Center is dedicated to preventing and treating child abuse, strengthening families, and preventing violence in families, schools and communities.","13634 Cordary Ave, Hawthorne, CA 90250",(310) 970-1921,atanaka@richstonefamily.org,children & families in need,www.RichstoneFamily.org,,"Volunteer time, Clothing donations, Financial contributions"
Spark-LA,Providing life-changing apprenticeships to youth in underserved communities. ,"315 West 9th Street, Suite 1009 Los Angeles, CA 90015",(213) 344-­4843  ,losangeles@sparkprogram.org,low-income middle school students,http://www.sparkprogram.org/ ,,"Volunteer time, Financial contributions"
Minds Matter of Los Angeles,Transforming the lives of accomplished high school students from low-income families by broadening their dreams and preparing them for college success,"19360 Rinaldi Street #705 , Porter Ranch CA 91326",,info@mindsmatterla.org,High school students from low-income families,www.mindsmatterla.org,,"Financial contributions, Volunteer time - especially tutors with a background in writing and critical thinking, mathematics, standardized Test Preparation (SAT, PSAT etc.), curriculum development, program leadership. For more information, see their website."
Constitutional Rights Foundation,"CRF is a nonprofit, non-partisan, organization dedicated to educating America's young people about the importance of civic participation in a democratic society. Through CRF's programs and materials, CRF help's young people to become active and informed citizens. ",601 S. Kingsley Drive Los Angeles CA 90005,(213) 316-2128,laura@crf-usa.org,K-12 students and teachers,www.crf-usa.org,"Donations, companies and law firms to host highs school interns (expanding horizons internship program), attorneys and judges to coach and score our  mock trial program.","Volunteer time, Financial contributions"
Handmade Especially For You,Handmade Especially For You wants every woman who comes into a shelter to receive a comfort scarf for leaving an abusive situation. Leaving an abusive environment is a huge step for the woman who takes it.,"30065 Grandpoint Lane, Rancho Palos Verdes, CA  90275",(310) 547-3673,handmade.leslye@gmail.com,Abused women in shelters,http://www.handmadeespecially.org/,,Volunteers to do administrative tasks as well as volunteers to knit scarves 
Los Angeles Homeless Services Authority,"The mission of LAHSA is to ""support, create and sustain solutions to homelessness in the City and County of Los Angeles by providing leadership, advocacy, planning and management of program funding.""","811 Wilshire Blvd., Los Angeles, CA 90013",(213) 683-3333,volunteer@lahsa.org,homeless,www.theycountwillyou.org ,,Volunteer time
Working Wardrobes,"Working Wardrobes empowers men, women, young adults and veterans overcoming difficult challenges to confidently enter the workforce and achieve self-sufficiency. They provide career training, job placement assistance and wardrobe services in an environment of dignity and respect.","3030 Pullman, Costa Mesa, CA 92626",(714) 210-2460,JerriR@WorkingWardrobes.org,"women, men, veterans, high school students",workingwardrobes.org,,"Volunteer time, Clothing donations, Financial contributions, Professional services"
CASA of Los Angeles,The mission of CASA of Los Angeles is to improve the lives of foster children with trained volunteer advocates. A Court Appointed Special Advocate (CASA) is appointed by a judge to advocate for the best interests of a foster child.,"201 Centre Plaza Drive, Suite 1100, Monterey Park, CA 91754-2142",(323) 859-2888,volunteer@casala.org,Children in foster-care,http://casala.org,,"Volunteer time, Financial contributions"
Pasadena-Altadena Community Youth Association ,"MLK Day of Service Feeding the Homeless: Volunteers will meet up on Martin Luther King Jr. Day -- Jan 21, 2013 at 12:30 p.m. for training and food set-up in the downtown Los Angeles community of skid row at the VOA-Accecss Center."," 628 S.San Julian St, Los Angeles, CA 90014",,,Homeless,,,Volunteer time
AmeriCorps  Beach Clean Up - MLK Day of Service 2013,"The Building Healthy Communities Long Beach AmeriCorps Project is hosting a MLK Day of Service community cleanup near Bluff Park on January, 21st, 2013, from 9am to 3pm.","Bluff Park, Ocean blvd & Junipero Ave, Long Beach, CA 90802",,,Homeless,http://www.americorps.gov/,,Volunteer time
Los Angeles Regional Foodbank,"The mission of the Los Angeles Regional Foodbank is to mobilize the resources of our community to fight hunger, the causes of hunger and the problems related to hunger. Join them for a MLK Day of Service Event.","1734 East 41st Street, Los Angeles, CA 90058",(323) 234-3030,,Homeless,http://www.lafightshunger.org/,,Volunteer time
Big Sunday National Day of Service Clothing Drive,"Big Sunday's mission is to build community through community service. Their volunteers come from all kinds of neighborhoods, and work in all sorts of neighborhoods, too. The idea is that everyone has some way that they can help somebody else. Join them for a MLK Day of Service Event.","6111 Melrose Ave, Los Angeles, CA 90038",(323) 549-9944,,Homeless,http://www.bigsunday.org,,"Volunteer time, Clothing donations"
L.A. Works' 2013 MLK Jr. Day of Service Event Coordinators,"Take the lead in coordinating Los Angeles' biggest service day of the year: L.A. Works' MLK Day of Service. This is an exciting opportunity for anyone who loves organizing, planning and taking charge. Gain some leadership experience, learn how to delegate and manage volunteers, get creative and problem solve. L.A. Works is a nonprofit, volunteer action center that empowers Angelenos to address pressing social issues through volunteerism and community collaborations.","3010 Estara Avenue, Los Angeles, CA",(323) 224-6510,,"Homeless, L.A. Community, Youth",http://www.laworks.com,,Volunteers
Found Animals Foundation,Found Animals Foundation's mission is to minimize the number of homeless animals euthanized in Los Angeles area shelters. ,"PO Box 66370, Los Angeles, CA 90066",(310) 574-5323,,"Pets, community",http://www.foundanimals.org,,Volunteer time
